"","QE1-S1","QE1-S2","QE1-S3","QE1-S4","QE1-S5","QE5-M1","QE5-M2","QE5-M3","QE5-M4","QE5-M5","QE5-H1","QE5-H2","QE5-H3","QE5-H4","QE5-H5"
"107312818",37.3333333536444,27.88889,30.8888896333333,27.3333244444444,33.8888836666667,39.7777744444444,40.1111666666667,32.8888962444444,34.8889111111111,22.8888814011111,37.2222134035556,27.8888832256667,31.3333386666667,40.1111,36.7777333333333
"107305834",133.499975,92.5,115.0001,143.999935,111.749925,144.250055,208.750025,144.999975,104.000125,73.749975,102.99995,81.249975,173.75,177.499925,111.999925
"107319593",714.39984,522.3996,467.800879356,534.80004,663.799368288,671.7999400844,762.39966,650.999872,633.4002,480.79984,953.19958,585.20034,700.7998,816.1990296312,906.79912352
"107314895",170.000263224818,120.909098427909,98.1818769456364,115.545504730727,131.454475988364,139.000042363636,168.726933163491,127.090962009182,146.181537008582,73.6363761818182,172.999974941818,117.636313363636,137.454987988036,164.999600825018,190.636143553173
"107306691",6.400006,2.8,2,3.200006,3.79999078,3,7,4.6,3,2.6,6.999998,2.6,5.399996,5.60001,7.40002
"107310953",89.3999,50.999928,58.9999415364,54.99996,59.399986,60,83.20010654,74.800014,86.80006,39.400012,77.40002,64.39992,78.79992,91.4,104.59998
"107315047",130.285742857143,91.4285714285714,77.2856714285714,71.5714428571429,93.7143285714286,114.571397270286,139.142857142857,106.571464285714,119.000014285714,57.0000142857143,143.857128571429,116.428622857143,98.8572428788572,121.571385714286,155.428628571429
"107315046",1719,1147,1094,1285,1544,1093,2228,1583,1736,768,1858,1341,1550,1759,2237
"107306484",1.999997701,0.999998625,0.499999835,2.99999875,1.4999985185,10.00002145,1.999997867,6.49999859,14.50000417,3.5,24.99998845,3.00000182,3.000000342,3.49999794,1.500002498
"107306482",848.9995,385.5,433.5,559.5,637.5,491,679.5,615,623,419.5,579.5,480.5,627,684,800.5
"107318009",36,24,25,26,22,38,30,37,43,9,37,57,57,66,67
"107318029",59.5,36.5,57,40,37.5,66.5001,68.5,68.00015,64.4999,34,55,64,62.9998,102.0002,81.5
"107306644",61.0001666666667,37.3333333333333,61.3333633333333,66.3332333333333,112.333333333333,70.3333666666667,67.0000333333333,86.3333266666667,56.0000666666667,45.6666666666667,112.333333333333,32,74.3334333333333,39,88.6666666666667
"107306671",316.999883333333,386.334831,289.333453333333,354.6666,468.999333333333,439.334465333333,278.333366666667,348.998376666667,394.6668,214.6668,441.9992,352.333233333333,385.334392666667,429.0007,533.665533333333
"107306023",52.5999546726,31.20006,41.399918,33.799982,40.600016,45.2000460244,70.20002,45.2,40.800066,38.0001,93.799894,54.400102,37.000003871,54.39996,73.999886
"107306026",387,269,177,251,270,364,410,346,331,195,370,456,182,278,434
"107306006",3.99999166666667,3.50000333333333,3.83333166666667,5.333345,7.00379166666667,6.000005,8.16667166666667,11.5,7.66666666666667,6.66666666666667,15.499995,7.33333333333333,9.33333333333333,12,16.6666585
"107318588",62,29,35.5,59,116.99995,29.7033,58.32665,62,39.60735,31,53,23,28.5,31,40.10485
"107318596",694.0005,432.9999,401.4999,602.5,617.9999,394.9998,944.999,695.5025,759.4985,335.99995,521.49995,445,507.9998,535.0023,557.999
"107318593",8,6,8,9,15,15,20,15,15,6,7,5,14,23,14
"107309962",8,0,1.5,1.5,0.5,1.5,4,2,4,1,18,5.5,16.5,15,6.5
"107309963",30459,16374,19044,19434,20610,17175,35298,27142,33435,10829,68615,65244,67119,94717,78684
"107309964",10.800002,7.19998,9.8000100996,9.199996,11,6.79999354,15.59998,9,6,5.000004,24.20002,14.999997358,9.399996,30,16
"107309982",27.6,5.8,17.6,2.60000200318,5.6000034678,4.8,32.79998,4.799996,66.39996,3.399998,289.9992,16.2,112.6,24.400002054,96
"107309961",1119,1139,996,787,1232,1063,1870,1422,1051,863,8085,2317,1296,3498,2024
"107309990",21,4,17,19,4,11,27,8,13,1,47,2,39,5,11
"107306988",144,94,84,127,145,148,161,123,142,79,178,123,148,228,151
"107306989",95,80,72,88,84,92,121,95,76,51,110,108,120,106,125
"107311340",459,245.962,230.982,299.94,284.942,234.975,502.944,363.846,349.922,201.916,438.646,286,353.957,288.952,489.973
"107311276",2740,2301,2327,2107,2578,3225,4053,2862,3244,1560,3611,2322,3434,3146,4231
"107311275",1270,754,667,699,711,1019,1143,846,794,541,1229,1102,833,902,1371
"107311303",1759,1022,1122,1046,1339,1362,1771,1353,1353,883,1651,1224,1563,1733,1788
"107308970",5.50000345,11.5,3.833335,2.33333333333333,3.33333333333333,10.3333283333333,8,4.16666333333333,6.33333333333333,3.66666354666667,7.66666666666667,3.33333333333333,8.5000000123,4.5,12.4999833333333
"107325438",2410.482,1114.4983,1169.487,2653.4865,1445.4885,1248.987,2227.4825,1736.9975,1481.977,1198.985,1773.4645,1304.4895,975.99615,1754.4565,2179.9765
"107325369",750.00105,441.0002,601.5005,634.99925,722.999,640.498,1038.00135,706.9995,702.4995,393.5,525.0001,525.99825,547.50125,960.9999,1032.50155
"107325414",141.000001935,50.00000078,140.00000004125,203,160.00005,239.9998,293.5001,141.5,123.4999,93.5000000064,181.5,86,78.5,163,287
"107315457",497.000223333333,343.666666666667,334.333333333333,337,373.666666666667,383,545,409.99999,432.000296666667,221.33334,567.33347,360.33346,480.00004,486,469.666603333333
"107315462",239.0001,218.333333333333,149.00008321,207.0003,197.333566666667,162.666666666667,330,266.666666666667,215.999766666667,104.333166666667,321.9998,244.6668,284.3334,277.3334,389.666666666667
"107313179",974.13,806.9135,973.22,514.5395,1052.95,1316.5325,1342.677,922.5445,931.5875,635.652,815.825,715.7925,795.0755,1232.55,879.285
"107313278",41,37,35,56,39,36,101,35,68,23,11,58,73,60,70
"107314554",2,3,4.9999985,1.5,1,8.5000006,5.5,2.5,15.499995,2,2.5,3,1.5,4.4999984425,5.5
"107314545",225,145.50000003225,185.5000736475,220,157.999807175,370.50025,311.4998013365,262.5001245,200.99985,143.5000002545,335.500085,161,364.0001838835,281.999983,262.5
"107314553",15,6,13,13,10,12,13,74.9766,17.007,13.7901,43,5,24,15.6228,19
"107309653",78.0000666666667,52.3333,38,43.3333333333333,53.3333333333333,61.6667333333333,81.9998333333333,61.0001,66.0001666666667,33.0000287646667,78.6666666666667,53.9998666666667,67.6666666666667,70.0000333333333,89.0000666666667
